web-scraper-order,web-scraper-start-url,author,title,date,content,rating,label
1580573639-823,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,VAIBHAV DHEKANE,Value for money,Reviewed in India on 13 November 2019,"Camera awesome. Night mode and portrait mode extra ordinary.
Images size for 64px too large. Should go for 128gb version.
Seperate memory slot.
1080px YouTube videos don't cover screen fully.
Has fm radio.
Ir remote works with most devices
Wifi speed a bit low.
Feels very heavy in hands and pockets.",5.0 out of 5 stars,quality
1580574076-2356,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ishaan,About the product box,Reviewed in India on 30 November 2019,I got the phone sound and good but why didn't i get macro lens tester and the big box that comes with the this phone.  I sae there is this huge box of note 8 pro.  But all i got is this main phone box,3.0 out of 5 stars,quality
1580573513-382,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ismeet Singh Saluja,Gaming Beast!!!,Reviewed in India on 25 November 2019,"I would like to keep my review short as you must have read many things about this note 8 pro.
1. PROCESSOR:- The G90T mediatek processor is a gaming processor having very excellent performance.
2. BATTERY:- I am getting around 2 days of battery life sometimes even more than 2 days depending on my usage.
3. BUILT QUALITY and DESIGN is very stylish.
4. Camera quality is superb. Samsung sensor is good.
Now if u r confused between realme XT and note 8 pro...........both are good but note 8 pro has better battery life but lacks amoled screen and in display fingerprint but the processor of 8 pro is excellent.....and the fingerprint sensor at the back is very fast and responsive.!!!
Also I got 1 yr free screen replacement from AMAZON!!!",5.0 out of 5 stars,quality
1580573539-476,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jai Aditya N S,Wonderful work by redmi.......,Reviewed in India on 8 November 2019,The phone looks great in both the aspects such as build and performance. The camera is absolutely a marvel. I'm cent percent satisfied with this phone in all the aspects????. This will be the better option in this segment.,5.0 out of 5 stars,quality
1580574775-4774,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Akshay Patil,Value for money. Bang for every buck!!!,Reviewed in India on 17 December 2019,"The best Budget Smartphone on the market.
Great Camera, Good Battery life.",5.0 out of 5 stars,quality
1580573454-195,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ajit Chaudhary,Can't Type Wth my Maximum Speed.,Reviewed in India on 7 November 2019,"Hadn't thought about this issue but now its a hell.  I can't type with full speed. Whenever I tries to type with maximum speed it starts writing anything randomly, I mean the random keys. Now please don't even try to tell me if I don't have enough typing speed. I've never faced any such issues with any of my phones. For the comparison I tried with my Bro's n frineds IP7 M40 and OP6T I've tried with them all but i've got no such issues. I'm so much disappointed. Phone has no other issue..its just awesome in every other department. Camera battery performence you name it.",4.0 out of 5 stars,quality
1580573497-338,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Dr.Anil Kamalia,Superb 8 GB/128 GB Configuration @ 18K,Reviewed in India on 18 December 2019,"Redmi 8 Note Pro 8GB RAM/128GB Storage Electric Blue.
I got this phone in 1day delivery commitment. I had used Mi 4, Mi Max, Mi Max2 in the past. I have been using other mobile since last 2 years. My Redmi8 Note Pro made realized what I missed so far. It's 64MP main camera array and 20MP selfie camera are simply superb. Screen and back cover are Gorilla Glass5. A smooth finish that one should feel. WiFi connectivity is awesome. I had received phone in 62%remaining charging. After rigorous usage for 10hrs it consumes 33%. Phone didn't show signs of even getting warmer, getting hanged etc., I recommend this to anyone that is looking for a best phone @18K",5.0 out of 5 stars,quality
1580574256-2974,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ritesh,I am totally speechless,Reviewed in India on 24 January 2020,Unbelievable mobile provide flagship level really it's took asw  in this price the camera and the processor is awesome I can't explain it all,5.0 out of 5 stars,quality
1580574439-3624,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hemant Raikar,Try once before you comment,Reviewed in India on 10 December 2019,"Good phone.There are so many smart phones in market with great features, but I would like to go with RedMi phones.",5.0 out of 5 stars,quality
1580573815-1447,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hariprasad,It's a Beast!,Reviewed in India on 11 November 2019,"The best midrange phone available now. Great camera, Great gaming performance, great battery life. its an all in one package.",5.0 out of 5 stars,quality
1580574119-2501,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Low volume,Reviewed in India on 7 January 2020,Basically the model is okay. Worst thing is ringing volume is too low. If you are deep sleeper plz make backup for alarm as in this set volume you make possible to wakeup.,3.0 out of 5 stars,quality
1580574621-4264,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nandeesh Kumar V,Good buy,Reviewed in India on 24 November 2019,Nice to buy,4.0 out of 5 stars,quality
1580573901-1752,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vishal singh,So good,Reviewed in India on 3 January 2020,So good,5.0 out of 5 stars,quality
1580573972-2005,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rajiv Saini,"very best mobile, cheap and best",Reviewed in India on 22 November 2019,"good quality best performance, camera quality is so good as compare with vivo or oppo, 6gb ram, gaming processor etc.",5.0 out of 5 stars,quality
1580573686-994,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Deepak Kumar,Awesome phone,Reviewed in India on 9 November 2019,"This is one of the best phone this price range
Nice aura prism design. Nice screen to body ratio. 48 mp quad camera capture high quality photo. Also 18 w fast charge who charged 4000 mah battery approx one hour. Sanapdegran 665 processer gaming performance awesome. #redmi/#mi/??",5.0 out of 5 stars,quality
1580573627-784,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ankur Singh,JUST GO FOR IT!,Reviewed in India on 23 January 2020,"I think you should not trust the negative reviews which are here,At this price range you cannot get better than this smart phone. It has everything which a person needs in a good phone, great battery backup,camera quality is excellent, quick response of the finger print sensor,etc.
The only thing which is not good is that it sharpens the videos too much especially you will not love watching videos on YouTube but that can be managed while watching it at 480p or 720p rest everything is good in it. Overall I am really happy from this Xiaomi redmi note 8 pro.",5.0 out of 5 stars,quality
1580574653-4365,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,vivek,Kadak,Reviewed in India on 20 December 2019,Awesome display... battery life,5.0 out of 5 stars,quality
1580574775-4776,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,VISHAL SHARMA,I Love Redmi Note 8 Pro,Reviewed in India on 19 November 2019,Excellent Mobile Great Performance Camera Was Oswam And Night Mode is very Good,5.0 out of 5 stars,quality
1580573826-1490,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sushanta Saha,Excellent product_The Redmi Note 8 Pro,Reviewed in India on 22 December 2019,Quality smart phone at this price range..I'm satisfied with the purchase..specially its design and processor speed..just mind-blowing..battery life and camera quality also good..Amazon delivered this product to me just in a day..great shopping experience through Amazon..,4.0 out of 5 stars,quality
1580573951-1933,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,saneshcr07,Good phone in a budget range,Reviewed in India on 19 December 2019,Finger print should be little bit below the camera.. and default camera looks bit over saturated pics .. bt 64mp options is good.,4.0 out of 5 stars,quality
1580574360-3344,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,JATIN PARMAR,I,Reviewed in India on 1 January 2020,Very good,4.0 out of 5 stars,quality
1580574587-4142,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Aniruddha Talapatra,Great product value for money,Reviewed in India on 26 January 2020,Good product value for money,5.0 out of 5 stars,quality
1580574224-2866,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,BALASUBRAMANIAN E,Super,Reviewed in India on 21 November 2019,Excellent,5.0 out of 5 stars,quality
1580574475-3755,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tanmoy Mondal,Awesome phone in this price range,Reviewed in India on 5 December 2019,This phone total value for money.... love this product... very satisfied,5.0 out of 5 stars,quality
1580573807-1419,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Need Camera Improvement,Reviewed in India on 23 November 2019,"For this price range the camera could have been a little better.
I personally feel camera on Redmi Note 7pro is better than note 8 pro.
Hope to get the same fixed via updates.",3.0 out of 5 stars,quality
1580574011-2135,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,KULDEEP,Mind blowing,Reviewed in India on 16 November 2019,Ultimate. Best phone,5.0 out of 5 stars,quality
1580573898-1741,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pravin kumar,About qualities of this phone,Reviewed in India on 15 December 2019,"The configuration and features which is mentioned in this phone is not given. And the camera quality is just like 8 MP ,zooming power is very poor. I suggest everybody that not to buy this type of bad qualities camera phone. It is just like a box nothing else.",1.0 out of 5 stars,quality
1580574763-4732,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,sanjay mali,Required Weight minimize,Reviewed in India on 24 January 2020,Protrait mode in rear camera...in protrait mode face side corner showing in compressed..,5.0 out of 5 stars,quality
1580574275-3048,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jerin George,Good,Reviewed in India on 2 January 2020,Good,5.0 out of 5 stars,quality
1580574363-3355,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Poor Picture Quality.,Reviewed in India on 27 December 2019,Please do not buy This Redmi  note 8 pro.camera quality in not to much good.its not 64MP camera .Old CPU  only 2.4 octa core Look wise good.,2.0 out of 5 stars,quality
1580574357-3335,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Om,Nice mobile with great battery and peformance,Reviewed in India on 14 November 2019,Worth it,4.0 out of 5 stars,quality
1580574221-2853,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Er Aman kumar,Money back,Reviewed in India on 19 January 2020,It's very good,4.0 out of 5 stars,quality
1580574552-4029,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shaik khaja,Worth buying,Reviewed in India on 23 January 2020,Great device but screen should be amoled,5.0 out of 5 stars,quality
1580573929-1856,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Raman prasad,Good Phone,Reviewed in India on 28 December 2019,"Overall the phone is good with good battery life and charges a bit fast.
Camera is also quite good but need an improvement.
The phone gets a bit warm at the time of gaming.
Alexa is not so responsive it needs lots of improvement.",4.0 out of 5 stars,quality
1580574199-2777,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amber Jauhari,Perfect selfie camera with good ?? life ..,Reviewed in India on 4 January 2020,"Finger print reader is very good
Camera quality is awesome
Battery life is good after using it all day long.
But i didn't get the 18v charger as mention in it.",4.0 out of 5 stars,quality
1580574742-4662,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sambit,Nice phone,Reviewed in India on 21 November 2019,"Best phone
Camera is very good
Processor is also good
Battery backup is long",5.0 out of 5 stars,quality
1580574155-2630,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gaman,The true beast,Reviewed in India on 25 November 2019,"#Mi love ...
Killer phones Nd beast in its price segment ??????",5.0 out of 5 stars,quality
1580574228-2877,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ASHOKE KUMAR KUNDU,Allrounder smartphone except battery.,Reviewed in India on 25 December 2019,Everything is going good but battery life is poor. Battery life is not expected as Vivo z1 pro or Asus m1 pro.,4.0 out of 5 stars,quality
1580574456-3685,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anupamrai2303,Powerfull budget phone,Reviewed in India on 21 December 2019,"6 gb With 128gb internal memory
Camera is nice , face lock and super smooth",5.0 out of 5 stars,quality
1580573425-110,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nick,Awesom fone,Reviewed in India on 8 November 2019,Product is awesome. Super speed with super cam and pretty handsome battery life. One less star for not providing proper accessories as mentioned in product description. Soft case is missing.,3.0 out of 5 stars,quality
1580574131-2544,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Harishkumar Parmar,very good product,Reviewed in India on 28 January 2020,all over good only night selfie is  less in  quality,5.0 out of 5 stars,quality
1580573669-939,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Inderpal Singh1,Price worth Phone,Reviewed in India on 31 December 2019,"I am using this phone since last 2 months now and i am very satisfied with the performance.
Although i switched myself from IOS to Android but it seems logical to me.
This phone has almost all the features which you should be looking into a smartphone these days and price is really worth.
Mi has done a great job, I think rest all costly phones are selling the same features on their brand value only.",5.0 out of 5 stars,quality
1580574751-4693,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tanveer,Good Product,Reviewed in India on 6 January 2020,All good but battery life is not good for gamers and heavy users.,3.0 out of 5 stars,quality
1580574475-3752,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tapash Majumder,Mi Mobile is best Mobile  in the would.,Reviewed in India on 25 November 2019,"I ordered the mi phone it's so good . It has good features good camera. Battery backup best .ram and rom is good. #MiLove
Love mi",5.0 out of 5 stars,quality
1580573937-1885,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,amit kumar,Best Mid range phone ever by Xaomi...??,Reviewed in India on 7 January 2020,"Overall everything is good but just missing Amoled display in this range. Camera superb, superb battery life, best for game player, and many more good features make this phone very perfect in mid range phones.",5.0 out of 5 stars,quality
1580574155-2629,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Afridi Akhtar,It's not for photographers,Reviewed in India on 20 November 2019,"I like it's gaming parfomance and screen pouch
But it's camera quality is not good. Fingerprint sensor placement is not ok. Massaging application is not working properly",4.0 out of 5 stars,quality
1580573417-83,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jagdevmeena,Poor display,Reviewed in India on 6 November 2019,"Display quality is not as good as I expected.
It has 1080p display but i have seen 720p displays better than this.",4.0 out of 5 stars,quality
1580573691-1018,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,suryakant,"Bumpy,shattered user experience",Reviewed in India on 28 January 2020,"Failure in consistent performance for most of the features.Does have all but will not give you confidence on using those features e.g palm wave for photos,blue tooth connectivity,slow motion videos,screen rotate there are many to be listed
MI should first concentrate on making UI more user friendly and giving confidence of using it.",2.0 out of 5 stars,quality
1580574160-2647,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,subhasri d.,Over all too good,Reviewed in India on 6 November 2019,Satisfied..,4.0 out of 5 stars,quality
1580574818-4924,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Beauty kumari,Amazing Performance in this Price Range.,Reviewed in India on 15 December 2019,"Picture quality is amazing.
Amzng gaming Performance. ??
I love it",5.0 out of 5 stars,quality
1580574178-2707,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,vipin,Faced problem watch video in you tube,Reviewed in India on 25 January 2020,"Performance is good
Battery  ok
Camera is  good
Cons = you tube vedio is over saturated its so disgusting plz solve this issue
Over all good package",2.0 out of 5 stars,quality
1580573556-536,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Yash Sharma,Unsatisfactory battery life,Reviewed in India on 1 January 2020,"The mobile phone is an excellent budget phone with an excellent fingerprint scanner and camera, but what it lacks in is the battery life. The battery drains very fast when we switch on internet and use it. Also, the battery consumed by the UHD screen and it's alexa app is also very high. The auto-brightness is also not helpful for reduction in battery-drain for it does lower brightness to such low extent in comparison to ambient light so that screen becomes barely visible. However, the ""reading mode"" and ""battery saver' are the modes which i found a bit useful. The ""so-called"" 4500 mAH powerful battery is not at all good.

However, excluding battery life and excessive heating issues on this phone, i liked everything else in this phone including camera, looks, and all. More or less it is a nice budget mobile phone.",3.0 out of 5 stars,quality
1580574538-3977,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,praful,dont buy this item hangs a lot,Reviewed in India on 11 November 2019,phone hangs a lot after such a good processor,1.0 out of 5 stars,quality
1580573983-2050,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,arjun singh,Amazing product,Reviewed in India on 19 December 2019,What a knock as agreat deal in Mi is a good product in best price for a good feature in Indian market. Such a great deal,5.0 out of 5 stars,quality
1580573579-615,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,shiljo safal,Beast,Reviewed in India on 14 January 2020,"Best phone under this price range....
Their are heating issue which i think is after a heavy usage...
Mediatek chip which defines the heating issue... But with liquid cooling it keeps it under control....
Camera is pretty decent but..
obviously the advertisement and other promotion just makes it too spectacular which is not the case...
You cant judge it untill you try it... As i compared which my frnds one plus device note 8 pro got much better quality pictures in certain areas...
Overall its a beast under this price range...
I wouldn't even think of realme X2 instead of this ... As the performance much better in note 8 pro.... And other than that the price is much better .... In the price which i got 6gb 128gb ... My friend added 1000 more to get 6gb 64gb varient...",5.0 out of 5 stars,quality
1580573497-331,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Value for money,Reviewed in India on 6 November 2019,"Pros:
1) Amazing Processor
2) Good Camera
3) Build Quality
4) C-Type fast charging

Cons:
1) Overheating while playing Game(PubG)
2) Battery drains fast
3) Poor Music Sound Quality (even with earphone)

P. S. Overall good product under 15k price point.",4.0 out of 5 stars,quality
1580573868-1637,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Farhan,Heavy in weight in dis segment,Reviewed in India on 30 January 2020,"It's good phone but it's very heavy in  weight as comparison with other phone with same segment ...
Over all performance is good...
Camera is good
Battery charging is not fast as VOOC

You  must buy",3.0 out of 5 stars,quality
1580573720-1115,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Yogender,Buy only if u are a Redmi lover only....,Reviewed in India on 14 November 2019,"For camera purpose don't buy it..... battery is good.....camera disappointing
....Display is better",2.0 out of 5 stars,quality
1580573644-842,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gowtham M,Good mobile at this Price range,Reviewed in India on 30 January 2020,"Advantages
1) Good performance at this price range, performance feels like flagship phones
2) No Heating issues, I'm playing pubg daily 4 hrs i didn't face any heating issues, no lags,no frame drops.
3) VeryGood battery life, while playing pubg it gives screen on time of minimum 4.30hrs of Continuous playing in single charge

Disadvantages
1) Front not impressed
2) Loud speaker volume could be louder",4.0 out of 5 stars,quality
1580573801-1399,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sivakumar,Value for money,Reviewed in India on 8 January 2020,Product is good after a few software updates.... And don't expect too much while buying... Xiomi satisfied the words as what they said... Camera quality could be better in low lights.... Even 64mb gives noise in low lights... Reviewed After 15 days days... Performance and battery span is amazing look and feel too...,4.0 out of 5 stars,quality
1580573533-459,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,sridhar kadambi,I want to return this phone  not happy,Reviewed in India on 20 November 2019,"Very Disappointed
REPEATEDLY Hanging problem.
Contact opens very late .

Battery Drains very fast
Kindly replace or take back this phone",1.0 out of 5 stars,quality
1580574810-4897,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Aashis Mukhia,Nice product,Reviewed in India on 6 January 2020,Everything works like a wonder except for the quality of the images from wide angle and front camera.,4.0 out of 5 stars,quality
1580574322-3215,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,sachin dongre,About the camara,Reviewed in India on 6 January 2020,Camara clarity is not good . Whenever I take the photo from frant camera or back camara the photo look dul and callers combinations was not good .,3.0 out of 5 stars,quality
1580574114-2484,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Darrell Satwata,Excellent,Reviewed in India on 28 January 2020,As expected good cell phone,5.0 out of 5 stars,quality
1580573556-539,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amzad Ansari,Paisa wasool,Reviewed in India on 22 January 2020,"Probably this is the most beautiful looking phone in this price range, no other brand is even close. But, it has few drawbacks of it's own, battery life being one of them. You expect at least a day and half with 4500 mAh pack,but lasts just one day at most.  Some pre-installed apps can not be removed and that's a bummer. Finger print is fast and accurate, no complaints in that department. Camera is good, not exceptional, but again for the asking price it's better than the competitors. It has some water resistant rating, which is very thoughtful from Redmi, couldn't have asked for more.
All in all satisfied with the look and performance.",4.0 out of 5 stars,quality
1580574020-2170,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,rahul kumar,Awesome Phone in this price,Reviewed in India on 10 January 2020,"Camera quality are good and battery backup full day..
Overall ratings awesome....
Go for it...",4.0 out of 5 stars,quality
